customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0.0,Yes,No,-1.2774445836787656,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,-1.1603229160349193,29.85,No
5575-GNVDE,Male,0.0,No,No,0.06632741908223598,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,-0.2596289419448806,1889.5,No
3668-QPYBK,Male,0.0,No,No,-1.2367242199587352,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,-0.3626603559551803,108.15,Yes
7795-CFOCW,Male,0.0,No,No,0.5142514200025698,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),-0.7465354629935549,1840.75,No
9237-HQITU,Female,0.0,No,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.19736523310080326,151.65,Yes
9305-CDSKC,Female,0.0,No,No,-0.9924020376385531,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1595456961969886,820.5,Yes
1452-KIOVK,Male,0.0,No,Yes,-0.4223169455581282,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.8089065291619363,1949.4,No
6713-OKOMC,Female,0.0,No,No,-0.9109613101984924,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-1.1636465100352518,301.9,No
7892-POOKP,Female,0.0,Yes,No,-0.1779947632379461,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.330710787214099,3046.05,Yes
6388-TABGU,Male,0.0,No,Yes,1.2064976032430856,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),-0.28621769394753876,3487.95,No
9763-GRSKD,Male,0.0,Yes,Yes,-0.7888002190384014,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.4922805219681379,587.45,No
7469-LKBCI,Male,0.0,No,No,-0.6666391278783103,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.5225946620711341,326.8,No
8091-TTVAX,Male,0.0,Yes,No,1.0436161483629645,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),1.182810854199314,5681.1,No
0280-XJGEX,Male,0.0,No,No,0.6771328748826912,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.2941512532104444,5036.3,Yes
5129-JLPIS,Male,0.0,No,No,-0.30015585439803716,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.3539759452164248,2686.05,No
3655-SNQYZ,Female,0.0,Yes,Yes,1.4915401492832983,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),1.611554480242174,7895.15,No
8191-XWSZG,Female,0.0,No,No,0.7992939660427822,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-1.4660935640654862,1022.95,No
9959-WOFKT,Male,0.0,No,Yes,1.5729808767233588,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),1.393859073220412,7382.25,No
4190-MFLUW,Female,0.0,Yes,Yes,-0.9109613101984924,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.31779183695069496,528.35,Yes
4183-MYFRB,Female,0.0,No,No,-0.46303730927815856,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.8404806721650927,1862.9,No
8779-QRDMV,Male,0.0,No,No,-1.2774445836787656,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,-0.8346107040023594,39.65,Yes
1680-VDCWW,Male,0.0,Yes,No,-0.8295205827584317,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),-1.4943441130683104,202.25,No
